Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,11.508963,11.508963,11.210996,11.210996,7.146450,495000
1999-11-02,11.285487,11.546208,11.285487,11.397225,7.265162,435900
1999-11-03,11.397225,11.769683,11.397225,11.434471,7.288904,592100
1999-11-04,11.471717,11.955913,11.471717,11.769683,7.502587,489600
1999-11-05,11.881421,12.030404,11.732437,11.732437,7.478842,1078900
1999-11-08,11.769683,12.216634,11.769683,12.067650,7.692522,543300
1999-11-09,12.142141,12.142141,11.508963,11.508963,7.336389,710500
1999-11-10,11.434471,11.695191,11.397225,11.546208,7.360131,388700
1999-11-11,11.546208,11.657946,11.471717,11.620700,7.407618,429900
1999-11-12,11.546208,11.844175,11.546208,11.732437,7.478842,214200
1999-11-15,11.769683,12.067650,11.769683,11.844175,7.550069,333900
1999-11-16,11.881421,11.918667,11.695191,11.769683,7.502587,386700
1999-11-17,11.769683,11.844175,11.546208,11.546208,7.360131,661100
1999-11-18,11.583454,11.695191,11.210996,11.210996,7.146450,862600
1999-11-19,11.062013,11.136504,10.615063,10.726800,6.837798,554400
1999-11-22,10.801291,10.913029,10.652308,10.782669,6.873414,538300
1999-11-23,10.689554,10.689554,10.354342,10.466079,6.671602,509200
1999-11-24,10.466079,10.503325,10.130867,10.242604,6.529148,507800
1999-11-26,10.242604,10.428833,10.205359,10.205359,6.505407,141600
1999-11-29,10.205359,10.652308,10.056375,10.652308,6.790316,478600
1999-11-30,10.652308,10.652308,10.354342,10.615063,6.766573,1204600
1999-12-01,10.689554,10.913029,10.577817,10.652308,6.790316,768300
1999-12-02,10.652308,10.689554,10.168113,10.317096,6.576631,387900
1999-12-03,10.354342,10.801291,10.354342,10.689554,6.814055,510100
1999-12-06,10.689554,10.689554,10.466079,10.503325,6.695345,284700
1999-12-07,10.466079,10.615063,10.279850,10.391587,6.624119,582300
1999-12-08,10.317096,10.540571,10.205359,10.279850,6.552890,403700
1999-12-09,10.242604,10.317096,9.795654,9.870146,6.291726,394700
1999-12-10,10.019129,10.019129,9.646671,9.832900,6.267982,380200
1999-12-13,9.795654,10.056375,9.609425,9.721163,6.196756,527600
1999-12-14,9.572179,9.870146,9.534933,9.832900,6.267982,706200
1999-12-15,9.721163,10.019129,9.683917,9.758409,6.220498,529200
1999-12-16,9.609425,9.683917,9.460442,9.497687,6.054301,539400
1999-12-17,9.683917,10.279850,9.683917,10.205359,6.505407,1586700
1999-12-20,10.130867,10.801291,10.056375,10.726800,6.837798,888000
1999-12-21,10.726800,10.726800,10.205359,10.242604,6.529148,531600
1999-12-22,10.168113,10.503325,10.130867,10.317096,6.576631,993800
1999-12-23,10.279850,10.577817,10.279850,10.466079,6.671602,374800
1999-12-27,10.428833,10.801291,10.428833,10.615063,6.766573,264400
1999-12-28,10.615063,10.950275,10.615063,10.652308,6.790316,286900
1999-12-29,10.615063,10.801291,10.466079,10.466079,6.671602,354100
1999-12-30,10.540571,10.801291,10.466079,10.577817,6.742828,199100
1999-12-31,10.540571,10.838537,10.428833,10.801291,6.885284,161000
2000-01-03,10.726800,10.764046,10.279850,10.317096,6.576631,451700
2000-01-04,10.317096,10.466079,10.130867,10.242604,6.529148,311500
2000-01-05,10.168113,10.764046,10.168113,10.615063,6.766573,447000
2000-01-06,10.540571,10.838537,10.503325,10.503325,6.695345,223500
2000-01-07,10.577817,10.875783,10.354342,10.354342,6.600377,749400
2000-01-10,10.317096,10.540571,10.317096,10.428833,6.647861,320100
2000-01-11,10.428833,10.913029,10.428833,10.838537,6.909028,466900
2000-01-12,10.801291,10.838537,10.354342,10.466079,6.671602,1300200
2000-01-13,10.577817,11.173750,10.503325,11.099258,7.075223,1086600
2000-01-14,11.099258,11.322733,11.099258,11.248241,7.170190,398100
2000-01-18,11.173750,11.322733,10.950275,11.099258,7.075223,460900
2000-01-19,11.099258,11.136504,10.801291,10.913029,6.956510,931000
2000-01-20,10.838537,10.875783,10.428833,10.503325,6.695345,777700
2000-01-21,10.652308,10.652308,10.466079,10.466079,6.671602,788400
2000-01-24,10.615063,10.615063,10.130867,10.205359,6.505407,791000
2000-01-25,10.093621,10.130867,9.870146,9.907392,6.315467,872000
2000-01-26,10.019129,10.019129,9.758409,9.870146,6.291726,1011600
2000-01-27,9.870146,9.944637,9.683917,9.832900,6.267982,631200
2000-01-28,9.758409,9.758409,9.348704,9.385950,5.983075,1339000
2000-01-31,9.385950,9.572179,9.274213,9.460442,6.030557,646000
2000-02-01,9.460442,9.534933,9.087983,9.162475,5.840621,714200
2000-02-02,9.162475,9.423196,8.492050,9.423196,6.006819,4170000
2000-02-03,9.460442,9.646671,9.311459,9.646671,6.149271,631300
2000-02-04,9.609425,9.981883,9.609425,9.981883,6.362952,1958700
2000-02-07,9.944637,9.981883,9.497687,9.572179,6.101787,690000
2000-02-08,9.683917,9.832900,9.609425,9.758409,6.220498,994400
2000-02-09,9.683917,9.721163,9.385950,9.423196,6.006819,658900
2000-02-10,9.348704,9.572179,9.236967,9.460442,6.030557,754500
2000-02-11,9.534933,9.572179,9.199720,9.274213,5.911848,614800
2000-02-14,9.236967,9.274213,8.976246,9.013492,5.745649,481900
2000-02-15,8.976246,9.199720,8.901754,9.162475,5.840621,1080900
2000-02-16,9.162475,9.199720,8.715525,8.827263,5.626939,764600
2000-02-17,8.864509,8.901754,8.678279,8.790017,5.603197,589600
2000-02-18,8.641033,8.715525,8.492050,8.603787,5.484485,1097100
2000-02-22,8.641033,8.790017,8.492050,8.566542,5.460742,596000
2000-02-23,8.529296,8.771394,8.417559,8.417559,5.365772,1267300
2000-02-24,8.343066,8.417559,7.933362,8.156837,5.199576,982400
2000-02-25,8.156837,8.268575,8.045100,8.082346,5.152093,419600
2000-02-28,8.231329,8.343066,8.007854,8.045100,5.128348,551800
2000-02-29,8.045100,8.156837,7.821625,7.858871,5.009638,875900
2000-03-01,7.933362,8.194083,7.896117,8.119592,5.175834,865300
2000-03-02,8.119592,8.268575,7.970608,8.007854,5.104607,530700
2000-03-03,8.007854,8.194083,7.970608,8.082346,5.152093,693300
2000-03-06,8.045100,8.194083,7.970608,8.082346,5.152093,631000
2000-03-07,8.045100,8.156837,7.411921,7.523658,4.795957,870000
2000-03-08,7.411921,7.747133,7.411921,7.486413,4.772215,642300
2000-03-09,7.523658,7.672642,7.411921,7.635396,4.867183,836400
2000-03-10,7.598150,7.896117,7.523658,7.709888,4.914669,443700
2000-03-13,7.635396,7.896117,7.598150,7.635396,4.867183,774500
2000-03-14,7.598150,7.747133,7.560904,7.635396,4.867183,420500
2000-03-15,7.635396,8.194083,7.635396,8.082346,5.152093,589300
2000-03-16,8.119592,8.678279,8.119592,8.492050,5.413258,656500
2000-03-17,8.454804,8.529296,8.231329,8.305820,5.294547,810200
2000-03-20,8.231329,8.566542,8.231329,8.492050,5.413258,470200
2000-03-21,8.492050,8.790017,8.417559,8.678279,5.531969,539900
2000-03-22,8.827263,9.162475,8.566542,8.566542,5.460742,578500
2000-03-23,8.603787,8.790017,8.156837,8.752770,5.579454,898000
2000-03-24,9.385950,9.646671,8.976246,9.013492,5.745649,1869600
2000-03-27,8.939000,9.274213,8.939000,9.087983,5.793134,1331600
2000-03-28,9.162475,10.130867,9.162475,9.832900,6.267982,1653300
2000-03-29,10.428833,10.428833,10.130867,10.242604,6.529148,1487000
2000-03-30,10.391587,10.503325,10.205359,10.503325,6.695345,545000
2000-03-31,10.354342,10.652308,10.205359,10.615063,6.766573,961800
2000-04-03,10.689554,10.875783,10.577817,10.577817,6.742828,636000
2000-04-04,10.689554,11.173750,10.428833,10.875783,6.932769,946100
2000-04-05,10.801291,11.173750,10.764046,11.136504,7.098964,733700
2000-04-06,11.210996,11.210996,10.801291,10.801291,6.900055,688700
2000-04-07,10.726800,10.875783,10.689554,10.726800,6.852467,648300
2000-04-10,10.875783,11.024767,10.615063,11.024767,7.042815,749400
2000-04-11,11.024767,11.062013,10.838537,11.062013,7.066609,506800
2000-04-12,10.913029,11.583454,10.913029,11.210996,7.161780,443100
2000-04-13,11.099258,11.099258,10.764046,10.764046,6.876261,665500
2000-04-14,10.801291,10.801291,10.130867,10.317096,6.590743,1026900
2000-04-17,10.317096,10.577817,10.317096,10.466079,6.685915,590600
2000-04-18,10.391587,10.540571,10.205359,10.391587,6.638329,477300
2000-04-19,10.279850,10.950275,10.279850,10.652308,6.804883,819500
2000-04-20,10.652308,11.434471,10.652308,11.322733,7.233162,494400
2000-04-24,11.248241,11.322733,11.062013,11.248241,7.185574,750000
2000-04-25,11.210996,11.471717,11.099258,11.471717,7.328333,428300
2000-04-26,11.397225,11.471717,11.285487,11.471717,7.328333,695300
2000-04-27,11.322733,11.359980,11.024767,11.099258,7.090401,897500
2000-04-28,11.062013,11.062013,10.764046,11.024767,7.042815,545400
2000-05-01,10.801291,11.062013,10.428833,10.875783,6.947642,657900
2000-05-02,10.987521,10.987521,10.652308,10.726800,6.852467,564200
2000-05-03,10.801291,10.801291,10.130867,10.242604,6.543154,437900
2000-05-04,10.540571,10.540571,10.242604,10.279850,6.566951,464800
2000-05-05,10.279850,10.987521,10.279850,10.801291,6.900055,757900
2000-05-08,10.764046,10.764046,10.410211,10.540571,6.733503,429500
2000-05-09,10.615063,10.764046,10.428833,10.726800,6.852467,453400
2000-05-10,10.726800,10.987521,10.689554,10.764046,6.876261,482600
2000-05-11,10.875783,11.099258,10.838537,11.099258,7.090401,715500
2000-05-12,11.062013,11.248241,11.024767,11.062013,7.066609,301400
2000-05-15,11.024767,11.173750,10.987521,10.987521,7.019023,362500
2000-05-16,10.950275,11.471717,10.913029,11.397225,7.280746,268400
2000-05-17,11.322733,11.359980,10.950275,11.136504,7.114197,800500
2000-05-18,11.136504,11.248241,11.024767,11.136504,7.114197,314900
2000-05-19,11.062013,11.136504,10.764046,10.913029,6.971433,674200
2000-05-22,10.913029,10.950275,10.726800,10.913029,6.971433,504800
2000-05-23,10.913029,11.285487,10.875783,11.173750,7.137989,652400
2000-05-24,11.248241,11.471717,11.173750,11.434471,7.304543,821000
2000-05-25,11.322733,11.322733,10.875783,11.062013,7.066609,1094700
2000-05-26,11.099258,11.248241,11.062013,11.248241,7.185574,608500
2000-05-30,11.248241,11.248241,10.875783,10.950275,6.995227,414200
2000-05-31,10.801291,10.875783,10.130867,10.242604,6.543154,1001500
2000-06-01,10.205359,10.242604,10.056375,10.130867,6.471777,937100
2000-06-02,10.130867,10.130867,10.056375,10.093621,6.447983,515200
2000-06-05,10.130867,10.130867,9.944637,9.981883,6.376602,486700
2000-06-06,10.130867,10.130867,9.981883,9.981883,6.376602,363100
2000-06-07,10.056375,10.056375,9.944637,10.019129,6.400394,271100
2000-06-08,10.056375,10.205359,9.870146,10.019129,6.400394,216500
2000-06-09,9.944637,10.205359,9.832900,9.870146,6.305224,367200
2000-06-12,9.832900,10.019129,9.832900,9.870146,6.305224,271900
2000-06-13,9.795654,10.019129,9.795654,9.870146,6.305224,204700
2000-06-14,9.758409,10.019129,9.758409,9.795654,6.257633,298100
2000-06-15,9.870146,10.242604,9.832900,10.019129,6.400394,404700
2000-06-16,9.907392,10.205359,9.907392,10.093621,6.447983,622600
2000-06-19,10.093621,10.354342,9.534933,9.721163,6.210049,817500
2000-06-20,9.721163,9.795654,9.274213,9.423196,6.019705,484300
2000-06-21,9.497687,9.572179,9.199720,9.348704,5.972116,384700
2000-06-22,9.423196,10.726800,9.385950,10.726800,6.852467,375600
2000-06-23,9.832900,9.944637,9.646671,9.907392,6.329018,1092800
2000-06-26,9.944637,10.168113,9.758409,9.795654,6.257633,371600
2000-06-27,9.870146,9.981883,9.758409,9.870146,6.305224,314800
2000-06-28,9.870146,9.907392,9.274213,9.432508,6.025651,727200
2000-06-29,9.423196,9.646671,9.385950,9.646671,6.162462,1070000
2000-06-30,9.534933,10.019129,9.534933,9.683917,6.186255,977900
2000-07-03,9.758409,9.907392,9.423196,9.795654,6.257633,320500
2000-07-05,9.944637,9.981883,9.758409,9.758409,6.233844,307400
2000-07-06,9.795654,10.093621,9.795654,10.093621,6.447983,584200
2000-07-07,10.019129,10.428833,10.019129,10.391587,6.638329,729700
2000-07-10,10.317096,10.391587,10.093621,10.205359,6.519361,282900
2000-07-11,10.130867,10.689554,10.130867,10.540571,6.733503,1172000
2000-07-12,10.466079,10.652308,10.279850,10.503325,6.709708,433700
2000-07-13,10.428833,10.503325,10.242604,10.317096,6.590743,380600
2000-07-14,10.317096,10.391587,10.168113,10.279850,6.566951,176800
