Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,4.750000,4.750000,4.187500,4.187500,3.821448,4400
1999-11-02,4.187500,4.187500,4.187500,4.187500,3.821448,0
1999-11-03,4.125000,4.500000,4.125000,4.500000,4.106630,4300
1999-11-04,4.375000,4.375000,4.375000,4.375000,3.992556,200
1999-11-05,4.375000,4.375000,4.375000,4.375000,3.992556,1300
1999-11-08,4.375000,4.375000,4.375000,4.375000,3.992556,700
1999-11-09,4.375000,4.375000,4.375000,4.375000,3.992556,200
1999-11-10,4.250000,4.750000,4.250000,4.750000,4.334777,4400
1999-11-11,4.750000,5.000000,4.625000,4.625000,4.220705,1500
1999-11-12,4.812500,4.812500,4.625000,4.625000,4.220705,1300
1999-11-15,5.000000,5.000000,4.625000,4.625000,4.220705,1300
1999-11-16,4.875000,4.875000,4.250000,4.625000,4.220705,11300
1999-11-17,4.250000,4.250000,4.250000,4.250000,3.878484,400
1999-11-18,4.250000,4.625000,4.250000,4.250000,3.878484,5100
1999-11-19,4.375000,4.562500,4.250000,4.500000,4.106630,26400
1999-11-22,4.375000,4.500000,4.375000,4.375000,3.992556,7500
1999-11-23,4.375000,4.375000,4.375000,4.375000,3.992556,900
1999-11-24,4.250000,4.437500,4.250000,4.437500,4.049593,5300
1999-11-26,4.437500,4.437500,4.437500,4.437500,4.049593,0
1999-11-29,4.312500,4.375000,4.250000,4.375000,3.992556,1000
1999-11-30,4.250000,4.375000,4.250000,4.250000,3.878484,2300
1999-12-01,4.125000,4.125000,4.125000,4.125000,3.764412,4000
1999-12-02,4.125000,4.125000,4.125000,4.125000,3.764412,1200
1999-12-03,4.125000,4.125000,4.125000,4.125000,3.764412,1200
1999-12-06,4.000000,4.000000,4.000000,4.000000,3.650339,3600
1999-12-07,4.000000,4.000000,3.500000,3.875000,3.536265,14100
1999-12-08,3.625000,3.625000,3.625000,3.625000,3.308119,600
1999-12-09,3.625000,3.875000,3.500000,3.500000,3.194046,18100
1999-12-10,3.625000,3.750000,3.375000,3.375000,3.079973,22500
1999-12-13,3.375000,3.375000,3.250000,3.250000,2.965899,900
1999-12-14,3.250000,3.250000,2.875000,2.875000,2.623681,10300
1999-12-15,2.875000,3.250000,2.750000,3.250000,2.965899,14300
1999-12-16,3.375000,3.750000,3.250000,3.250000,2.965899,1600
1999-12-17,3.250000,4.453125,3.250000,4.000000,3.650339,17300
1999-12-20,4.125000,4.125000,3.750000,3.750000,3.422192,4300
1999-12-21,4.125000,4.187500,3.875000,3.875000,3.536265,10300
1999-12-22,4.000000,4.125000,3.875000,3.875000,3.536265,10400
