Date,Open,High,Low,Close,Adj Close,Volume
1999-10-19,30.500000,34.000000,24.125000,25.250000,11.492326,22356000
1999-10-20,26.750000,27.812500,22.562500,23.937500,10.894956,5330900
1999-10-21,23.187500,23.187500,21.000000,21.500000,9.785542,2329900
1999-10-22,21.500000,24.500000,20.312500,24.000000,10.923397,1627400
1999-10-25,24.500000,25.125000,23.250000,23.875000,10.866505,583700
1999-10-26,23.500000,24.250000,23.500000,24.125000,10.980292,645900
1999-10-27,24.187500,24.250000,23.687500,24.000000,10.923397,587100
1999-10-28,23.875000,25.812500,23.875000,25.187500,11.463881,532500
1999-10-29,25.750000,26.000000,23.562500,24.125000,10.980292,540700
1999-11-01,24.437500,25.671875,24.125000,25.000000,11.378541,362000
1999-11-02,25.437500,25.812500,23.437500,23.875000,10.866505,705400
1999-11-03,24.687500,25.000000,22.875000,23.062500,10.496704,756200
1999-11-04,23.437500,23.437500,22.625000,22.687500,10.326022,370800
1999-11-05,22.687500,23.125000,20.062500,20.750000,9.444185,877000
1999-11-08,20.750000,23.125000,20.500000,23.000000,10.468257,696900
1999-11-09,22.937500,23.750000,22.375000,23.375000,10.638932,236700
1999-11-10,22.937500,24.625000,22.437500,24.062500,10.951848,371400
1999-11-11,23.312500,24.875000,22.875000,23.062500,10.496704,305400
1999-11-12,22.937500,24.437500,22.937500,24.437500,11.122518,263800
1999-11-15,24.500000,24.875000,22.437500,23.062500,10.496704,325200
1999-11-16,23.187500,23.375000,22.375000,22.500000,10.240684,350500
1999-11-17,22.500000,22.500000,21.500000,22.375000,10.183794,229500
1999-11-18,22.375000,22.500000,20.625000,21.312500,9.700202,553900
1999-11-19,21.375000,21.437500,20.500000,21.375000,9.728649,283100
1999-11-22,21.312500,22.875000,21.312500,22.812500,10.382918,264800
1999-11-23,22.937500,23.250000,22.437500,22.875000,10.411364,223300
1999-11-24,22.812500,22.937500,21.625000,22.125000,10.070004,236100
1999-11-26,21.312500,21.812500,20.500000,20.562500,9.358850,356700
1999-11-29,20.625000,21.250000,20.500000,20.937500,9.529530,551600
1999-11-30,20.625000,20.687500,19.437500,20.125000,9.159728,487000
1999-12-01,20.500000,20.625000,19.437500,19.937500,9.074385,528600
1999-12-02,19.812500,20.000000,18.125000,18.500000,8.420123,527600
1999-12-03,18.375000,18.625000,16.250000,17.125000,7.794296,1442600
1999-12-06,17.125000,17.625000,16.625000,16.625000,7.566727,320000
1999-12-07,16.625000,19.500000,14.812500,19.500000,8.875257,1158200
1999-12-08,18.812500,18.937500,16.625000,17.562500,7.993424,767800
1999-12-09,17.750000,17.875000,16.750000,16.937500,7.708961,177900
1999-12-10,16.875000,17.250000,16.812500,17.125000,7.794296,321700
1999-12-13,17.250000,17.312500,16.250000,16.500000,7.509835,160100
1999-12-14,16.500000,16.750000,15.875000,16.625000,7.566727,173300
1999-12-15,16.250000,16.750000,16.250000,16.562500,7.538281,155900
1999-12-16,16.312500,17.062500,16.250000,16.375000,7.452944,217900
1999-12-17,16.500000,16.750000,15.500000,15.625000,7.111588,112200
1999-12-20,15.500000,15.875000,14.062500,14.187500,6.457322,479900
1999-12-21,14.500000,15.250000,14.500000,14.937500,6.798676,350000
1999-12-22,15.187500,15.500000,14.937500,15.500000,7.054693,143900
1999-12-23,15.437500,15.562500,14.500000,15.187500,6.912463,98200
1999-12-27,15.000000,15.187500,14.812500,15.000000,6.827123,183700
1999-12-28,14.812500,15.000000,14.125000,14.812500,6.741785,244200
1999-12-29,14.875000,15.250000,14.250000,14.562500,6.627999,172900
1999-12-30,14.562500,15.000000,14.250000,14.375000,6.542660,368500
1999-12-31,14.468750,17.500000,14.375000,17.250000,7.851190,411300
2000-01-03,17.125000,17.187500,15.937500,16.125000,7.339155,141400
2000-01-04,16.000000,16.187500,14.937500,15.437500,7.026248,166600
2000-01-05,15.312500,16.000000,15.125000,16.000000,7.282269,183600
2000-01-06,16.000000,16.062500,14.750000,15.000000,6.827123,73700
2000-01-07,15.062500,15.812500,14.625000,15.062500,6.855569,80700
2000-01-10,15.000000,15.750000,15.000000,15.015625,6.834234,54500
2000-01-11,15.062500,15.375000,14.625000,14.812500,6.741785,69000
2000-01-12,14.937500,15.062500,14.500000,14.562500,6.627999,117600
2000-01-13,15.031250,15.062500,14.625000,14.750000,6.713337,147600
2000-01-14,14.781250,14.875000,14.687500,14.812500,6.741785,45600
2000-01-18,14.750000,14.812500,14.250000,14.250000,6.485766,59500
2000-01-19,14.187500,14.937500,14.187500,14.250000,6.485766,61700
2000-01-20,14.750000,15.500000,14.375000,14.875000,6.770230,98200
2000-01-21,14.937500,15.125000,14.750000,15.000000,6.827123,81900
2000-01-24,14.812500,16.812500,14.750000,16.000000,7.282269,448900
2000-01-25,16.000000,16.000000,15.500000,15.500000,7.054693,325400
2000-01-26,15.500000,16.625000,15.312500,16.500000,7.509835,64700
2000-01-27,16.062500,16.750000,15.750000,16.375000,7.452944,87800
2000-01-28,16.750000,16.875000,15.250000,15.750000,7.168479,75300
2000-01-31,15.656250,16.000000,14.875000,15.437500,7.026248,73700
2000-02-01,15.625000,16.000000,15.250000,15.250000,6.940908,107900
2000-02-02,15.531250,16.750000,15.000000,16.500000,7.509835,218700
2000-02-03,16.937500,17.875000,12.000000,12.312500,5.603929,6307100
2000-02-04,12.750000,12.875000,11.250000,11.500000,5.234128,1780300
2000-02-07,12.125000,12.125000,11.250000,11.625000,5.291020,1403500
2000-02-08,12.062500,12.125000,11.125000,11.375000,5.177233,948900
2000-02-09,11.500000,11.500000,10.625000,10.687500,4.864325,943600
2000-02-10,10.937500,10.937500,10.125000,10.250000,4.665201,550800
2000-02-11,10.250000,10.625000,9.750000,10.312500,4.693646,708000
2000-02-14,10.937500,11.500000,10.812500,11.312500,5.148788,611600
2000-02-15,11.312500,11.625000,11.312500,11.500000,5.234128,839000
2000-02-16,11.656250,12.375000,11.437500,11.875000,5.404804,424900
2000-02-17,12.125000,12.125000,11.500000,11.500000,5.234128,256000
2000-02-18,11.625000,11.875000,11.500000,11.625000,5.291020,181700
2000-02-22,11.625000,12.125000,11.562500,11.812500,5.376359,615400
2000-02-23,12.000000,12.000000,11.250000,11.437500,5.205682,263000
2000-02-24,11.500000,11.500000,11.250000,11.312500,5.148788,237600
2000-02-25,11.375000,12.000000,11.312500,11.687500,5.319466,150800
2000-02-28,11.875000,11.937500,11.375000,11.625000,5.291020,102300
2000-02-29,12.312500,13.250000,12.000000,13.000000,5.916841,895300
2000-03-01,14.375000,14.500000,13.625000,13.937500,6.343534,749000
2000-03-02,14.000000,14.187500,13.750000,13.875000,6.315090,270000
2000-03-03,13.937500,14.000000,13.500000,13.562500,6.172855,451600
2000-03-06,13.750000,13.875000,13.312500,13.500000,6.144412,141900
2000-03-07,13.375000,13.500000,12.500000,12.625000,5.746163,130300
2000-03-08,12.750000,13.187500,12.250000,12.812500,5.831501,100600
2000-03-09,12.875000,13.562500,12.562500,13.187500,6.002178,267200
2000-03-10,13.187500,14.000000,13.125000,13.750000,6.258195,477200
2000-03-13,13.375000,13.875000,13.125000,13.375000,6.087517,178100
2000-03-14,13.500000,13.750000,12.250000,12.625000,5.746163,344100
2000-03-15,12.875000,13.187500,12.312500,13.000000,5.916841,116400
2000-03-16,13.062500,13.062500,12.250000,12.437500,5.660823,255800
2000-03-17,13.000000,13.000000,12.437500,12.875000,5.859947,319900
2000-03-20,13.000000,13.750000,12.750000,13.500000,6.144412,281600
2000-03-21,13.687500,14.062500,13.500000,13.937500,6.343534,151300
2000-03-22,14.125000,16.750000,13.937500,16.437500,7.481386,563800
2000-03-23,16.562500,16.750000,14.875000,15.937500,7.253819,269900
2000-03-24,16.000000,16.125000,15.437500,16.062500,7.310710,224400
2000-03-27,16.625000,17.500000,16.375000,16.750000,7.623621,515000
2000-03-28,17.125000,17.437500,16.375000,17.312500,7.879640,243500
2000-03-29,18.000000,19.687500,17.000000,17.375000,7.908085,1395400
2000-03-30,18.562500,18.750000,16.437500,16.937500,7.708961,373800
2000-03-31,17.406250,17.875000,16.500000,17.734375,8.071652,360600
2000-04-03,18.000000,18.000000,16.375000,16.875000,7.680512,216400
2000-04-04,16.500000,16.500000,14.000000,15.000000,6.827123,346100
2000-04-05,15.312500,15.375000,14.500000,15.000000,6.827123,182200
2000-04-06,15.437500,16.062500,15.250000,16.000000,7.282269,121200
2000-04-07,16.000000,16.062500,15.750000,15.875000,7.225371,103100
2000-04-10,15.875000,15.937500,14.750000,14.750000,6.713337,216500
2000-04-11,14.375000,14.437500,14.125000,14.187500,6.457322,158400
2000-04-12,14.250000,14.812500,13.750000,13.875000,6.315090,208800
2000-04-13,14.125000,14.562500,13.750000,13.875000,6.315090,172500
2000-04-14,14.000000,14.000000,13.250000,13.312500,6.059072,178000
2000-04-17,13.312500,14.375000,13.125000,13.562500,6.172855,171800
2000-04-18,13.625000,14.500000,13.500000,13.750000,6.258195,97800
2000-04-19,13.750000,15.500000,13.625000,15.375000,6.997799,266700
2000-04-20,15.125000,15.750000,15.125000,15.625000,7.111588,307000
2000-04-24,15.625000,15.875000,15.250000,15.687500,7.140033,231800
2000-04-25,15.562500,16.000000,15.562500,16.000000,7.282269,119800
2000-04-26,15.750000,16.875000,15.750000,16.500000,7.509835,143400
2000-04-27,16.375000,18.500000,15.937500,18.500000,8.420123,360700
2000-04-28,18.125000,18.437500,17.000000,17.062500,7.765854,187000
2000-05-01,17.125000,18.125000,17.000000,18.125000,8.249438,118800
2000-05-02,18.000000,18.500000,17.625000,17.750000,8.078763,150700
2000-05-03,18.187500,18.250000,17.562500,18.000000,8.192548,50100
2000-05-04,17.984375,17.984375,17.250000,17.500000,7.964977,30000
2000-05-05,17.687500,18.000000,17.375000,17.625000,8.021869,48700
2000-05-08,17.750000,17.875000,17.250000,17.375000,7.908085,38900
2000-05-09,18.000000,18.000000,16.812500,17.000000,7.737405,188900
2000-05-10,17.125000,17.312500,16.500000,16.562500,7.538281,233300
2000-05-11,16.500000,17.750000,16.500000,17.750000,8.078763,93000
2000-05-12,17.750000,18.000000,17.687500,18.000000,8.192548,57700
2000-05-15,17.812500,18.125000,17.500000,17.500000,7.964977,55000
2000-05-16,17.500000,17.937500,17.250000,17.500000,7.964977,16900
2000-05-17,17.250000,17.687500,17.187500,17.250000,7.851190,33400
2000-05-18,17.375000,17.750000,17.125000,17.250000,7.851190,96100
2000-05-19,17.125000,17.375000,16.500000,16.875000,7.680512,37200
2000-05-22,16.875000,17.250000,16.625000,17.125000,7.794296,60300
2000-05-23,17.187500,17.187500,16.625000,16.750000,7.623621,26400
2000-05-24,16.562500,16.750000,16.250000,16.687500,7.595176,59300
2000-05-25,16.625000,17.250000,16.625000,17.000000,7.737405,64000
2000-05-26,16.812500,17.000000,16.750000,16.750000,7.623621,62800
2000-05-30,16.625000,17.000000,16.500000,16.625000,7.566727,42100
2000-05-31,16.687500,16.687500,16.375000,16.375000,7.452944,51900
2000-06-01,16.937500,17.125000,16.437500,16.875000,7.680512,37100
2000-06-02,16.781250,17.500000,16.687500,17.375000,7.908085,106400
2000-06-05,17.250000,17.875000,17.250000,17.625000,8.021869,90200
2000-06-06,17.500000,17.750000,17.250000,17.625000,8.021869,88100
2000-06-07,17.437500,17.500000,17.187500,17.250000,7.851190,32000
2000-06-08,17.125000,18.000000,17.125000,17.812500,8.107211,83400
